#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	CZ.MB46.S46.L001.R1
NR_041825.1 Helicobacter marmotae strain MIT 98-6070 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0
NR_041909.1 Actinobaculum massiliense strain CIP 107404 16S ribosomal RNA gene, partial sequence	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_041941.1 Anaerococcus tetradius strain CCUG 46590 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NR_042785.1 Methanobrevibacter millerae strain ZA-10 16S ribosomal RNA gene, partial sequence	0	114	0	10	1	0	0	0	0	0	0	3237	5241	1	4	0	3	0	0	0	0	0	0	1	10124	0	0	0	0	0	0	0	162	0	1	1	240	10005	0	15	0	0	0	0	0	8	0	0	11252	0	0	0	3	1	1	0	443	728	0	2	1	0	0	0	0	1	0	0	0	0	29	0	102	0	0	1	0	436	2929	25	0	106	0	0	0	118	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NR_041960.1 Blautia luti strain BInIX 16S ribosomal RNA gene, complete sequence	197	11	608	369	1690	621	202	125	127	274	565	44	97	144	54	651	67	379	261	487	208	2424	530	552	230	764	463	2876	781	192	1937	95	780	183	352	52	361	377	164	386	1225	703	38	105	657	94	127	133	141	79	1541	265	125	82	88	172	3	68	29	182	544	545	86	57	37	135	34	241	421	6	72	0	14	218	3006	202	64	105	219	297	762	48	124	82	112	70	43	17	103	288	25	230	27	1004	178	199	5	370	319	785	31	457	195	460	26	51	888	4	16	232	852	40	35	63	463	71	91	118	11	358	26	381	118	273	271	700	158	1061	1	137	18	1	2	118
NR_042150.1 Fibrobacter intestinalis strain NR9 16S ribosomal RNA gene, partial sequence	1	0	9	0	0	0	0	99	0	1	1	0	0	101	0	16	0	3	0	0	0	5	3	5	0	0	0	0	0	5	0	4	0	94	0	0	0	0	0	0	0	0	1	4	341	0	2	0	0	168	64	7	0	0	16	49	0	0	0	39	0	0	0	30	0	28	1	6	45	0	0	0	0	15	0	29	1	0	0	0	39	0	21	134	0	0	0	3	7	21	0	0	0	10	0	1	0	0	0	15	1	0	11	0	0	0	0	94	0	0	5	8	11	0	32	21	0	9	22	0	0	0	10	0	4	0	1	0	1	0	0	1	5	0
NR_042007.1 Roseburia inulinivorans strain A2-194 16S ribosomal RNA gene, complete sequence	81	2	2	193	92	0	22	0	0	0	0	9	8	13	1	185	2	97	76	0	32	17	0	246	12	0	19	2	0	98	0	495	257	2	16	8	3	23	23	140	8	1	0	0	2	8	38	0	38	17	0	5	1	10	12	25	0	2	20	0	0	0	107	10	70	0	2	45	1	0	0	0	36	0	0	2	2	197	75	160	319	596	194	1	7	30	3	123	1	88	49	22	18	57	7	0	1	66	0	38	3	6	294	22	12	4	0	17	19	46	49	19	21	7	35	44	118	109	146	3	56	10	38	0	20	1	0	0	0	0	0	2	0	0
NR_041982.1 Actinomyces bowdenii strain M1327/96/l 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042074.1 Eubacterium pyruvativorans strain I-6 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	5	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042107.1 Methylobacter tundripaludum strain SV96 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
NR_042139.1 Corynebacterium accolens strain CNCTC Th1/57 16S ribosomal RNA gene, partial sequence	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR_042218.1 Arcobacter cibarius strain LMG 21996 16S ribosomal RNA gene, complete sequence	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2232	7	0	0	0	0	17	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NR_042240.1 Kingella potus strain 3/SID/1128 16S ribosomal RNA gene, complete sequence	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	26	4	0	0	0
NR_042778.1 Streptococcus thermophilus strain ATCC 19258 16S ribosomal RNA gene, complete sequence	0	1	2	3	0	126	1	0	0	0	71	2	0	1	0	0	0	1	1	1	0	31	1628	3	1	0	2	1409	6	2	126	1	4	1	1	1	2	4	0	2	0	1	0	276	3	0	1	1	1	0	14	1	0	3	1	3	1	4	0	0	0	102	0	1	0	0	2	0	0	0	1	1	0	2	340	3	0	5	2	1	0	0	2	0	1	0	0	0	1	2	1	0	0	2	0	0	3	0	0	1	0	0	7	1	1	0	46	1	2	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	2	147	1	378	1	2	0	0
NR_042430.2 Wautersiella falsenii genomovar 1 strain NF 993 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
NR_042401.1 Pediococcus stilesii strain FAIR-E 180 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	55	46	0	0	0	0	0	0	0	0	0	0	12	1	12	0	1	2	0	0	55	0	9	87	0	36	1	0	0	0	0	0	0	2	0	0	18	0	13	9	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	4	14	0	5	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	0	0	0	28	0	0	0	0	5	0	0	0	0	4	5	0	0	0	2	0	0	6	0	56	3	0	3	0	0	0	14	0	196	0	0	0	18	0	0	0	14	0	5	28	0	19	0	0	0	0
NR_042356.1 Serratia ureilytica strain NiVa 51 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NR_042427.1 Acidovorax caeni strain R-24608 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042648.1 Bacillus cecembensis strain PN5 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042523.1 Lactobacillus secaliphilus strain TMW 1.1309 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042456.1 Lactobacillus parabrevis strain LMG 11984 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042517.2 Chryseobacterium hominis strain NF802 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NR_042569.1 Stenotrophomonas terrae strain R-32768 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042772.1 Streptococcus mutans strain ATCC 25175 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR_042784.1 Methanobrevibacter ruminantium strain M1 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_043726.1 Brevundimonas terrae strain KSL-145 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042832.1 Roseburia faecis strain M72/1 16S ribosomal RNA gene, partial sequence	102	24	88	147	892	64	223	277	34	472	134	78	15	204	29	4062	43	1225	189	23	130	45	48	123	86	98	531	65	45	553	19	239	684	2001	764	68	39	42	176	137	598	208	29	18	94	42	1489	0	131	104	312	1579	1268	55	320	135	3	72	65	672	170	210	81	109	68	144	101	125	397	7	34	0	66	257	193	734	217	46	82	408	9	1625	254	36	176	59	29	41	82	549	52	623	13	806	214	26	2	31	141	815	66	669	1612	1005	174	19	110	292	69	131	66	618	156	210	208	131	441	227	71	252	55	122	757	107	41	1038	97	100	0	189	11	0	0	2
NR_042825.1 Paraeggerthella hongkongensis strain HKU10 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_042819.1 Dechloromonas hortensis strain MA-1 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_043024.1 Methanobrevibacter olleyae strain KM1H5-1P 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	812	0	0	0	0	0	0	0	0	27	0	0	0	0	0	7946	1	0	0	1	0	0	1528	0	0	0	0	0	0	0	0	0	0	2420	0	0	0	0	779	0	1	0	0	207	0	0	452	0	8	297	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4542	0	2713	0	967	6	144	0	0	0	0	815	0	0	0	0	0	0	0	1	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NR_042942.1 Treponema porcinum strain 14V28 16S ribosomal RNA gene, partial sequence	10	0	55	0	14	1	4	62	0	15	0	0	0	0	0	164	0	0	0	0	67	14	5	178	1	1	0	0	0	31	0	450	0	53	1	16	0	0	0	0	26	0	67	0	0	0	487	2	0	0	241	17	6	13	0	0	0	0	4	99	0	0	551	284	270	6	55	0	2	6	0	602	0	106	0	141	74	0	0	0	0	0	0	0	103	0	5	114	125	0	7	7	205	80	3	43	1868	1	0	10	0	21	0	2	66	452	0	260	20	0	0	1002	557	0	0	22	2	41	7	14	424	0	801	2	0	0	1021	0	671	0	1	1118	3645	0
NR_042930.1 Acetanaerobacterium elongatum strain Z7 16S ribosomal RNA gene, complete sequence	0	3	0	1	1	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	1	0	0	1	4	0	0	0	0	6	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	5	1	0	2	2	2	0	3	1	8	1	0	0	0	0	4	0	0	2	1	0	4	2	1	0	0	0	0	0	1	2	1	0	0	0	0	1	2	1	0	2	1	1	1	0	1	0	0	4	0	0	1	1	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
NR_042897.1 Enterococcus hermanniensis strain LMG 12317 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NR_042953.1 Anaerosporobacter mobilis strain IMSNU 40011 16S ribosomal RNA gene, partial sequence	9	4	0	42	47	3	53	311	0	225	0	12	54	15	13	331	17	25	14	10	19	4	5	20	239	3	109	5	3	232	7	65	110	621	58	11	16	63	4	36	76	2	7	8	4	23	190	0	152	20	12	13	28	14	21	14	5	323	32	344	4	4	3	15	3	122	19	13	200	2	10	0	6	40	5	80	103	20	293	97	4	65	20	3	8	370	35	5	12	7	7	9	6	25	176	4	14	1	0	26	17	35	36	8	14	4	2	2	4	8	1	20	11	13	15	47	44	128	1	5	7	7	55	49	0	0	21	2	1	0	1	0	3	0
NR_042987.1 Petrimonas sulfuriphila strain BN3 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NR_043001.1 Streptococcus parauberis strain DSM 6631 16S ribosomal RNA gene, partial sequence	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0	3	0	6	0	0	17	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	21	0	0	4
NR_043142.1 Flavonifractor plautii strain Prevot S1 16S ribosomal RNA gene, partial sequence	3	24	3	8	71	11	11	59	0	63	1	38	33	18	37	43	35	5	2	0	17	7	8	26	183	34	0	54	0	12	1	38	34	241	8	8	56	186	10	16	23	4	7	0	38	21	37	7	241	14	1	39	36	9	13	42	5	90	5	103	14	8	4	8	3	54	3	44	31	2	41	8	88	53	6	101	138	311	140	16	6	233	6	2	11	109	5	10	7	15	6	28	8	58	3	5	194	1	18	43	13	13	18	18	1	2	9	16	9	52	210	24	37	0	6	2	3	3	21	28	5	35	5	66	10	12	11	6	42	0	0	26	50	1
